producto_id,nombre_producto,categoria,precio_unitario,stock_disponible,fecha_ingreso
234,Lámpara LED Escritorio,Mobiliario,27.73,125.0,2024-12-01
421,Tarjeta MicroSD 256GB,Almacenamiento,33.91,284.0,2024-09-24
170,Pasta Térmica Alto Rendimiento,Componentes,9.5,350.0,2024-05-15
273,Auriculares Noise Cancelling,Audio,167.35,46.0,2024-11-06
166,Destornillador Precisión Kit,Herramientas,25.0,175.0,2024-07-08
384,Monitor Portable 15.6,Electronica,157.8,20.0,2025-03-08
186,Soporte Audífonos RGB,Accesorios,24.0,150.0,2024-08-28
343,Reposapiés Ergonómico,Mobiliario,33.97,20.0,2025-06-01
287,,Accesorios,,0.0,2024-07-26
260,Mouse Gamer 16000 DPI,Accesorios,59.09,148.0,2025-06-26
113, Lámpara LED Escritorio ,MOBILIARIO,35.0,90.0,2024-02-22
140,Brazo Articulado Micrófono,Audio,38.0,85.0,
129,Impresora Multifuncional,Oficina,195.0,25.0,2024-04-05
271,SSD M.2 NVMe 1TB,Almacenamiento,95.8,,2024-03-26
243,cable ethernet cat 6 10m,REDES,18.55,218.0,2025-07-08
472,SSD M.2 NVMe 1TB,Almacenamiento,96.35,161.0,2024-03-11
441,Caja Organizadora Cables XL,Oficina,15.59,183.0,2025-07-17
322,Caja Organizadora Cables XL,Oficina,16.21,98.0,2025-02-28
196,Interruptor Inteligente Wi-Fi,Domotica,16.5,190.0,2024-09-22
152,Mouse Vertical Ergonómico,Accesorios,34.0,90.0,2024-06-03
341, Auriculares Noise Cancelling ,Audio,209.05,70.0,2024-11-29
491,Tablet Ultra 10,,425.53,112.0,2024-08-22
435,Webcam Full HD 1080p,Accesorios,45.79,81.0,2024-12-29
279,Teclado Mecanico RGB,Accesorios,79.29,173.0,2025-02-13
142,Disipador CPU Aire,Componentes,42.5,95.0,
442,refrigeración líquida 240mm,componentes,157.83,79.0,2025-03-29
307,Bolsa Térmica Almuerzo,Oficina,16.89,95.0,2025-04-20
383,Caja Externa para SSD M.2,Almacenamiento,31.99,137.0,2024-07-29
195,Toallitas Microfibra x10,Mantenimiento,10.77,334.0,2025-01-22
465,Foco LED RGB Wi-Fi 10W,Domotica,9.55,241.0,2025-03-21
105,Silla Ergonomica,Mobiliario,210.0,15.0,
357,Altavoz Inteligente Asistente,Electronica,66.95,139.0,2024-10-13
125,Sensor de Movimiento Smart,Domotica,22.95,132.0,2025-04-16
201,Mouse Vertical Ergonómico,Accesorios,43.28,146.0,
327,Brazo Articulado Monitor,Mobiliario,73.14,48.0,2024-07-06
476,Soporte Audífonos RGB,Accesorios,28.29,,2025-03-17
314,Unidad de Respaldo UPS 850VA,Componentes,105.51,82.0,2024-11-12
272,Memoria RAM DDR5 32GB,Componentes,183.75,80.0,2025-05-19
199,Termómetro / Higrómetro Digital,Domotica,14.0,175.0,2024-10-01
393,Cargador Carga Rápida 65W,Accesorios,28.15,184.0,2024-05-11
316,Proyector Mini HD,Electronica,172.57,0.0,2025-04-06
162,Base Enfriadora Laptop,Accesorios,27.0,110.0,2024-06-28
148,,,,500.0,2024-05-22
133,panel de luz led streaming,Fotografia,72.0,50.0,2024-04-15
368,cámara de seguridad ip,Redes,67.86,118.0,2024-05-27
301,Altavoces Bluetooth,Audio,54.42,10000.0,2024-09-03
493,Disco Duro Interno 4TB NAS,Almacenamiento,144.95,68.0,2025-04-17
150,Soporte Doble Monitor,Mobiliario,85.0,40.0,2024-04-03
179,Laminadora Documentos A4,Oficina,48.0,35.0,2024-08-10
331,lámpara led escritorio,Mobiliario,30.53,66.0,2024-06-22
361,Cable HDMI 2.1 2m,Accesorios,12.29,467.0,2024-12-11
389,Brazo Articulado Monitor,Mobiliario,63.95,27.0,2025-01-07
263,Destornillador Precisión Kit,Herramientas,28.26,192.0,2025-04-22
474,Teclado Mecanico RGB,Accesorios,81.2,,2025-02-16
239,Filtro de Pantalla Privacidad,Accesorios,31.52,140.0,2024-11-19
163,Soporte Teléfono de Mesa,Accesorios,9.99,310.0,2024-07-01
236,Soporte Doble Monitor,Mobiliario,101.32,,2025-03-08
229,Kits de Limpieza Pantallas,Mantenimiento,7.94,430.0,2025-01-18
109,Disco Duro Externo 2TB,Almacenamiento,75.25,110.0,2024-02-12
427,Foco LED RGB Wi-Fi 10W,Domotica,10.97,262.0,2025-01-06
165,Fondo Verde Chroma Key,,45.0,60.0,2024-07-05
401,Cautín de Soldar 60W,Herramientas,16.63,96.0,2025-09-02
115,Soporte para Laptop,Accesorios,18.99,180.0,2024-03-01
257,,Accesorios,,108.0,2024-10-09
141,Fuente de Poder 750W Gold,Componentes,110.0,65.0,
440,Limpiador Aire Comprimido 400ml,Mantenimiento,13.98,293.0,2025-04-05
456,Teclado Mecánico 60%,Accesorios,92.63,139.0,2025-01-12
317,Brazo Articulado Micrófono,Audio,32.21,133.0,2024-05-27
380,Silla Ergonomica,,210.72,54.0,2024-03-10
481,Cable Ethernet Cat 6 10m,Redes,18.06,277.0,2025-01-18
438,Bolsa Térmica Almuerzo,Oficina,18.07,153.0,2025-07-09
337,Repetidor Wi-Fi Dual Band,Redes,27.2,235.0,2024-06-27
308,Destructora de Papel,Oficina,71.72,102.0,2025-01-18
313,,accesorios,,204.0,2024-12-18
396,Webcam Full HD 1080p,Accesorios,99999.0,117.0,2024-03-22
226,Fuente de Poder 750W Gold,Componentes,137.86,86.0,
352,Cable HDMI 2.1 2m,Accesorios,11.51,435.0,
308,Destructora de Papel,Oficina,71.72,102.0,2025-01-18
429,Teclado Numérico Inalámbrico,Accesorios,18.22,69.0,
404,Lector Huella Dactilar USB,Seguridad,37.21,18.0,2025-07-22
451,Fuente de Poder 750W Gold,Componentes,89.41,39.0,2024-08-02
370,Microfono Condensador,Audio,119.66,63.0,2024-11-13
302,Impresora Multifuncional,Oficina,158.7,43.0,2024-05-21
262, Multímetro Digital ,HERRAMIENTAS,28.09,,2025-08-18
144,Memoria RAM DDR5 32GB,Componentes,999999.0,85.0,2024-05-12
318,Cable VGA a HDMI 1.8m,Accesorios,7.54,255.0,2025-01-16
291,,Accesorios,,131.0,2024-10-10
410,Anillo de Luz 10 Pulgadas,Fotografia,16.76,,2024-11-18
360,trípode de mesa aluminio,Fotografía,23.2,136.0,2024-05-26
206,Anillo de Luz 10 Pulgadas,Fotografia,27.21,147.0,2024-07-24
154,Cargador Solar Portátil,Accesorios,52.0,40.0,2024-06-08
102,Teclado Mecanico RGB,Accesorios,85.5,120.0,
118,Mochila Antirrobo,Accesorios,48.0,95.0,
150,Escáner Portátil Documentos,Oficina,160.0,18.0,2024-05-28
181,Unidad de Respaldo UPS 850VA,,95.0,40.0,2024-08-15
306,Mouse Vertical Ergonómico,Accesorios,32.51,135.0,2025-02-14
135,Filtro Anti-pop Microfono,Audio,14.0,190.0,2024-04-20
364,Protector de Picos 8 Tomas,Accesorios,22.08,164.0,
467,Cinta Organizadora Velcro 5m,Oficina,5.7,471.0,2024-09-01
192,Toallitas Microfibra x10,Mantenimiento,9.0,290.0,2024-09-12
440,,Mantenimiento,,293.0,2025-04-05
153,Adaptador DisplayPort a HDMI,Accesorios,11.5,280.0,2024-06-05
446,Lector de Tarjetas SD USB-C,Accesorios,14.08,259.0,2024-09-04
365,Destornillador Precisión Kit,Herramientas,29.82,227.0,2025-01-15
342,Monitor Curvo 34,Electronica,448.84,0.0,2024-04-30
114,Tarjeta MicroSD 256GB,Almacenamiento,28.5,300.0,2024-02-25
416,Soporte Tablet Articulado,Accesorios,29.01,,2025-05-13
189,Caja Organizadora Cables XL,Oficina,17.5,130.0,2024-09-05
488,Anillo de Luz 10 Pulgadas,Fotografia,250000.0,143.0,2025-06-30
374,Brazo Articulado Monitor,Mobiliario,50.87,104.0,2025-03-28
267,Mousepad Gamer XL,Accesorios,13.71,237.0,2024-11-02
429,Teclado Numérico Inalámbrico,Accesorios,18.22,69.0,2024-09-19
266,,Oficina ,,564.0,2025-05-31
235,Destornillador Precisión Kit,Herramientas,27.33,186.0,2024-11-18
200,Memoria RAM DDR5 32GB,,125.1,152.0,2025-03-31
483,Disipador CPU Aire,Componentes,45.35,78.0,
420,Multímetro Digital,Herramientas,25.63,129.0,2025-05-01
344,Cargador Solar Portátil,Accesorios,55.71,1.0,2025-05-03
155,Disco Duro Interno 4TB NAS,,130.0,50.0,2024-06-10
464,Monitor Gaming 27,Electronica,305.7,89.0,2024-06-29
151,Teclado Numérico Inalámbrico,Accesorios,19.5,105.0,2024-06-01
275,Interfaz de Audio USB 2ch,Audio,146.3,61.0,
290, Cerradura Inteligente Escritorio ,Oficina ,46.1,115.0,2025-06-26
